file,subtitle_id,start,end,duration,english_words,english_wps,chinese_chars,chinese_cps,gap_from_previous,reasons,english,chinese
000,6,11.9,12.52,0.62,4,6.45,6,9.68,0.04,英文显示速度>5词/秒；中文显示速度>9字/秒,"Yeah, it really is.",没错，确实如此。
000,19,48.0,49.2,1.2,5,4.17,9,7.5,1.56,字幕间隔>0.8秒,It is a complete transformation.,这是一次彻底的转变。
000,21,51.9,52.98,1.08,4,3.7,10,9.26,0.24,中文显示速度>9字/秒,"Okay, let's unpack this.",好，我们来详细拆解一下。
000,22,53.02,55.32,2.3,12,5.22,20,8.7,0.04,英文显示速度>5词/秒,It sounds like the city is acting like a giant house flipper.,听起来，这座城市就像是一个大型的房产倒卖者。
000,23,56.18,57.8,1.62,6,3.7,11,6.79,0.86,字幕间隔>0.8秒,Why the sudden urge to renovate?,为什么突然有翻新的冲动？
000,29,71.4,72.96,1.56,8,5.13,12,7.69,0.0,英文显示速度>5词/秒,"Because they used to just swallow up land,",因为他们过去就是吞并土地，
000,37,96.82,97.24,0.42,3,7.14,5,11.9,0.04,英文显示速度>5词/秒；中文显示速度>9字/秒,"Ah, no, no.",啊，不是不是。
000,42,105.64,106.28,0.64,4,6.25,5,7.81,0.06,英文显示速度>5词/秒,How does that work?,怎么比喻的？
000,45,111.06,112.36,1.3,8,6.15,10,7.69,0.06,英文显示速度>5词/秒,"Instead of throwing it out or selling it,",你不是把它扔掉或卖掉，
000,46,112.42,114.4,1.98,11,5.56,14,7.07,0.06,英文显示速度>5词/秒,you finally figure out how to put it to good use,而是终于想出了怎么好好利用它
000,48,116.72,117.02,0.3,2,6.67,3,10.0,0.5,英文显示速度>5词/秒；中文显示速度>9字/秒,Got it.,明白了。
000,53,130.14,130.36,0.22,1,4.55,2,9.09,0.38,中文显示速度>9字/秒,Right.,没错。
000,54,130.4,133.06,2.66,14,5.26,17,6.39,0.04,英文显示速度>5词/秒,And that leads us to how this actually looks on the ground in practice.,这就引出了它在实际操作中的具体面貌。
000,72,180.22,181.28,1.06,6,5.66,8,7.55,0.04,英文显示速度>5词/秒,"Wait, what else are they doing?",等等，他们还做什么？
000,83,205.32,206.66,1.34,7,5.22,9,6.72,0.48,英文显示速度>5词/秒,Okay. What do the numbers look like?,好的。数字是什么样的？
000,86,214.02,216.84,2.82,8,2.84,12,4.26,0.98,字幕间隔>0.8秒,"By 2025, that number had doubled to 10%.",到2025年，这个数字翻了一番，达到10%。
000,98,246.8,247.7,0.9,6,6.67,6,6.67,0.04,英文显示速度>5词/秒,"but I want to leave you,",但我想留给你，
000,100,251.74,255.26,3.52,11,3.13,18,5.11,0.98,字幕间隔>0.8秒,If local governments are now acting like venture capitalists by taking,如果地方政府现在像风险资本家一样，通过
000,105,266.42,267.88,1.46,5,3.42,18,12.33,0.0,中文显示速度>9字/秒,pass an empty government building.,经过一栋空置的政府大楼时可以思考一下。
222,12,26.8,27.96,1.16,7,6.03,4,3.45,0.04,英文显示速度>5词/秒,"have you ever looked in your closet,",你翻衣柜，
222,14,30.62,32.62,2.0,11,5.5,10,5.0,0.2,英文显示速度>5词/秒,"and instead of throwing it out to buy a new one,",你没有扔掉它去买新的，
222,15,32.66,34.3,1.64,9,5.49,13,7.93,0.04,英文显示速度>5词/秒,you realize you can lease it to a local,而是意识到可以把它租给本地
222,18,37.94,40.62,2.68,10,3.73,25,9.33,0.04,中文显示速度>9字/秒,"Exactly. Okay, let's unpack this, because Dongda cities are doing",完全正确。 好，我们来深入分析一下，因为东大的城市们正在做
222,49,129.24,131.0,1.76,9,5.11,12,6.82,0.28,英文显示速度>5词/秒,"I do have to push back a little, though.",不过，我确实得稍微反驳一下。
222,51,134.4,135.59,1.19,7,5.88,12,10.08,0.0,英文显示速度>5词/秒；中文显示速度>9字/秒,"Like, you fix up some old buildings,",比如，把一些老建筑修整一下，
222,54,137.68,139.41,1.73,9,5.2,10,5.78,0.04,英文显示速度>5词/秒,"I mean, it's easy to see it that way.",嗯，这么看倒也容易理解。
222,77,204.18,205.76,1.58,8,5.06,11,6.96,0.06,英文显示速度>5词/秒,so they can share in the future upside.,以便分享未来的收益增长。
222,85,230.26,231.36,1.1,6,5.45,8,7.27,0.26,英文显示速度>5词/秒,Okay. And what did he find?,好的。他发现了什么？
222,88,238.06,240.54,2.48,9,3.63,7,2.82,0.96,字幕间隔>0.8秒,and they are projected to hit 10% by 2025.,预计到2025年将达到10%。
222,94,252.18,256.82,4.64,12,2.59,24,5.17,0.84,字幕间隔>0.8秒,Donda is basically undergoing a fundamental reckoning with its past expansion binge.,东大基本上正在与其过去的扩张狂潮进行根本性的清算。
888,1,0.02,1.24,1.22,5,4.1,11,9.02,0.02,中文显示速度>9字/秒,Welcome to today's Deep Dive.,欢迎收看今天的深度解析。
888,4,8.74,10.36,1.62,10,6.17,16,9.88,0.04,英文显示速度>5词/秒；中文显示速度>9字/秒,"Yeah, it is a pretty heavy topic we're looking at.",是的，我们今天要讨论的话题相当沉重。
888,5,10.4,10.9,0.5,3,6.0,4,8.0,0.04,英文显示速度>5词/秒,It really is.,确实如此。
888,15,34.92,36.26,1.34,5,3.73,13,9.7,0.1,中文显示速度>9字/秒,"And this matters globally, right?",而这件事对全球都有影响，对吧？
888,28,71.6,73.76,2.16,6,2.78,8,3.7,1.1,字幕间隔>0.8秒,"The reporting highlights Jasmine, for example.",比如报道中提到的Jasmine。
888,61,161.44,163.02,1.58,8,5.06,14,8.86,0.04,英文显示速度>5词/秒,We are just seeing a slow hiring market.,我们看到的不是单纯的招聘放缓。
888,80,211.5,212.2,0.7,1,1.43,7,10.0,0.04,中文显示速度>9字/秒,Basically.,基本上就是如此。
888,99,264.4,267.46,3.06,12,3.92,19,6.21,0.88,字幕间隔>0.8秒,But the state's current view is that allowing students to spend four,但国家现在的看法是，如果允许学生花费四年
888,120,324.42,327.88,3.46,12,3.47,12,3.47,0.86,字幕间隔>0.8秒,The first few years of a career are totally critical for cementing,职业生涯的头几年对于巩固
888,129,358.62,360.26,1.64,9,5.49,19,11.59,0.14,英文显示速度>5词/秒；中文显示速度>9字/秒,"And if we connect this to the bigger picture,",而如果我们把这个话题联系到更宏观的层面，
888,135,377.14,378.24,1.1,5,4.55,10,9.09,0.04,中文显示速度>9字/秒,That is a scary thought.,这是个令人恐惧的想法。
